# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	7895	8863	-	WP_061797823.1	WP_061797823.1		threonine/serine dehydratase			CKW09_RS00035	969	322	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	9094	9828	+							CKW09_RS00040	735		old_locus_tag=SAMEA4384070_00008
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	9094	9828	+	WP_061797827.1	WP_061797827.1		phosphatase PAP2 family protein			CKW09_RS00040	735	244	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	10067	10765	+					dgoR		CKW09_RS00045	699		old_locus_tag=SAMEA4384070_00009
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	10067	10765	+	WP_061797829.1	WP_061797829.1		D-galactonate utilization transcriptional regulator DgoR	dgoR		CKW09_RS00045	699	232	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	10762	11655	+							CKW09_RS00050	894		old_locus_tag=SAMEA4384070_00010
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	10762	11655	+	WP_095094880.1	WP_095094880.1		2-dehydro-3-deoxygalactonokinase			CKW09_RS00050	894	297	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	11639	12256	+							CKW09_RS00055	618		old_locus_tag=SAMEA4384070_00011
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	11639	12256	+	WP_061797831.1	WP_061797831.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			CKW09_RS00055	618	205	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	12253	13401	+					dgoD		CKW09_RS00060	1149		old_locus_tag=SAMEA4384070_00012
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	12253	13401	+	WP_061797832.1	WP_061797832.1		galactonate dehydratase	dgoD		CKW09_RS00060	1149	382	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	13527	14846	+							CKW09_RS00065	1320		old_locus_tag=SAMEA4384070_00013
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	13527	14846	+	WP_061797833.1	WP_061797833.1		MFS transporter			CKW09_RS00065	1320	439	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	14922	16214	+							CKW09_RS00070	1293		old_locus_tag=SAMEA4384070_00014
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	14922	16214	+	WP_061797835.1	WP_061797835.1		MFS transporter			CKW09_RS00070	1293	430	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	16261	17541	+							CKW09_RS00075	1281		old_locus_tag=SAMEA4384070_00015
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	16261	17541	+	WP_095094884.1	WP_095094884.1		DUF3748 domain-containing protein			CKW09_RS00075	1281	426	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	17578	17922	-							CKW09_RS00080	345		old_locus_tag=SAMEA4384070_00016
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	17578	17922	-	WP_061797837.1	WP_061797837.1		YceK/YidQ family lipoprotein			CKW09_RS00080	345	114	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	18231	18644	+					ibpA		CKW09_RS00085	414		old_locus_tag=SAMEA4384070_00017
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	18231	18644	+	WP_061797838.1	WP_061797838.1		heat shock chaperone IbpA	ibpA		CKW09_RS00085	414	137	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	18753	19181	+					ibpB		CKW09_RS00090	429		old_locus_tag=SAMEA4384070_00018
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	18753	19181	+	WP_061797840.1	WP_061797840.1		heat shock chaperone IbpB	ibpB		CKW09_RS00090	429	142	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	19349	21007	+							CKW09_RS00095	1659		old_locus_tag=SAMEA4384070_00019
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	19349	21007	+	WP_095094887.1	WP_095094887.1		putative transporter			CKW09_RS00095	1659	552	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	21041	22294	-							CKW09_RS00100	1254		old_locus_tag=SAMEA4384070_00020
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	21041	22294	-	WP_061797842.1	WP_061797842.1		valine--pyruvate transaminase			CKW09_RS00100	1254	417	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	22429	24495	-							CKW09_RS00105	2067		old_locus_tag=SAMEA4384070_00021
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	22429	24495	-	WP_095094891.1	WP_095094891.1		alpha-amylase			CKW09_RS00105	2067	688	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	24693	24848	+							CKW09_RS24645	156		old_locus_tag=SAMEA4384070_00022
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	24693	24848	+	WP_157079238.1	WP_157079238.1		hypothetical protein			CKW09_RS24645	156	51	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	24850	25827	-					ghrB		CKW09_RS00110	978		old_locus_tag=SAMEA4384070_00023
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	24850	25827	-	WP_095099932.1	WP_095099932.1		glyoxylate/hydroxypyruvate reductase GhrB	ghrB		CKW09_RS00110	978	325	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	25882	27150	-							CKW09_RS00115	1269		old_locus_tag=SAMEA4384070_00024
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	25882	27150	-	WP_061797844.1	WP_061797844.1		MFS transporter			CKW09_RS00115	1269	422	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	27302	28261	-							CKW09_RS00120	960		old_locus_tag=SAMEA4384070_00025
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	27302	28261	-	WP_095099935.1	WP_095099935.1		sugar kinase			CKW09_RS00120	960	319	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	28267	29019	-							CKW09_RS00125	753		old_locus_tag=SAMEA4384070_00026
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	28267	29019	-	WP_095094894.1	WP_095094894.1		xylose isomerase			CKW09_RS00125	753	250	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	29203	30219	-							CKW09_RS00130	1017		old_locus_tag=SAMEA4384070_00027
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	29203	30219	-	WP_061797847.1	WP_061797847.1		LacI family DNA-binding transcriptional regulator			CKW09_RS00130	1017	338	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	30351	31013	-							CKW09_RS00135	663		old_locus_tag=SAMEA4384070_00028
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	30351	31013	-	WP_061797848.1	WP_061797848.1		OmpA family lipoprotein			CKW09_RS00135	663	220	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	31261	31713	-							CKW09_RS00140	453		old_locus_tag=SAMEA4384070_00029
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	31261	31713	-	WP_061797962.1	WP_061797962.1		N-acetyltransferase			CKW09_RS00140	453	150	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	31710	32276	-							CKW09_RS00145	567		old_locus_tag=SAMEA4384070_00030
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	31710	32276	-	WP_061797849.1	WP_061797849.1		DNA-3-methyladenine glycosylase I			CKW09_RS00145	567	188	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	32474	34462	+							CKW09_RS00150	1989		old_locus_tag=SAMEA4384070_00031
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	32474	34462	+	WP_061797850.1	WP_061797850.1		autotransporter domain-containing protein			CKW09_RS00150	1989	662	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	35090	35833	+							CKW09_RS00155	744		old_locus_tag=SAMEA4384070_00032
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	35090	35833	+	WP_061797852.1	WP_061797852.1		LuxR family transcriptional regulator			CKW09_RS00155	744	247	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	35795	36457	-							CKW09_RS00160	663		old_locus_tag=SAMEA4384070_00033
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	35795	36457	-	WP_061797853.1	WP_061797853.1		acyl-homoserine-lactone synthase			CKW09_RS00160	663	220	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	36715	38055	-							CKW09_RS00165	1341		old_locus_tag=SAMEA4384070_00034
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	36715	38055	-	WP_061797963.1	WP_061797963.1		MFS transporter			CKW09_RS00165	1341	446	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	38319	39233	+					glyQ		CKW09_RS00170	915		old_locus_tag=SAMEA4384070_00035
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	38319	39233	+	WP_044554320.1	WP_044554320.1		glycine--tRNA ligase subunit alpha	glyQ		CKW09_RS00170	915	304	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	39243	41312	+					glyS		CKW09_RS00175	2070		old_locus_tag=SAMEA4384070_00036
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	39243	41312	+	WP_061797854.1	WP_061797854.1		glycine--tRNA ligase subunit beta	glyS		CKW09_RS00175	2070	689	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	41352	42413	-							CKW09_RS00180	1062		old_locus_tag=SAMEA4384070_00037
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	41352	42413	-	WP_231922107.1	WP_231922107.1		Fic family protein			CKW09_RS00180	1062	353	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	42565	43284	+							CKW09_RS00185	720		old_locus_tag=SAMEA4384070_00038
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	42565	43284	+	WP_061797855.1	WP_061797855.1		DUF3053 domain-containing protein			CKW09_RS00185	720	239	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	43828	45744	+							CKW09_RS00190	1917		old_locus_tag=SAMEA4384070_00039
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	43828	45744	+	WP_061797856.1	WP_061797856.1		PTS mannitol transporter subunit IICBA			CKW09_RS00190	1917	638	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	45805	46956	+					mtlD		CKW09_RS00195	1152		old_locus_tag=SAMEA4384070_00040
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	45805	46956	+	WP_095094897.1	WP_095094897.1		mannitol-1-phosphate 5-dehydrogenase	mtlD		CKW09_RS00195	1152	383	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	47051	47602	+							CKW09_RS00200	552		old_locus_tag=SAMEA4384070_00041
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	47051	47602	+	WP_231922192.1	WP_231922192.1		MltR family transcriptional regulator			CKW09_RS00200	552	183	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	47599	48207	-							CKW09_RS00205	609		old_locus_tag=SAMEA4384070_00042
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	47599	48207	-	WP_061797860.1	WP_061797860.1		LysE family translocator			CKW09_RS00205	609	202	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	48347	49813	+							CKW09_RS00210	1467		old_locus_tag=SAMEA4384070_00043
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	48347	49813	+	WP_061797861.1	WP_061797861.1		PLP-dependent aminotransferase family protein			CKW09_RS00210	1467	488	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	49887	50249	+							CKW09_RS00215	363		old_locus_tag=SAMEA4384070_00044
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	49887	50249	+	WP_061797862.1	WP_061797862.1		YibL family ribosome-associated protein			CKW09_RS00215	363	120	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	50280	51059	-							CKW09_RS00220	780		old_locus_tag=SAMEA4384070_00045
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	50280	51059	-	WP_061797864.1	WP_061797864.1		class I SAM-dependent methyltransferase			CKW09_RS00220	780	259	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	51117	51788	-					yiiM		CKW09_RS00225	672		old_locus_tag=SAMEA4384070_00046
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	51117	51788	-	WP_095094903.1	WP_095094903.1		6-N-hydroxylaminopurine resistance protein	yiiM		CKW09_RS00225	672	223	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	51885	53813	-							CKW09_RS00230	1929		old_locus_tag=SAMEA4384070_00047
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	51885	53813	-	WP_061797866.1	WP_061797866.1		methyl-accepting chemotaxis protein			CKW09_RS00230	1929	642	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	53937	54557	-					sodA		CKW09_RS00235	621		old_locus_tag=SAMEA4384070_00048
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	53937	54557	-	WP_061797965.1	WP_061797965.1		superoxide dismutase [Mn]	sodA		CKW09_RS00235	621	206	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	55010	58057	+					fdnG		CKW09_RS00245	3048		
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	55010	58057	+	WP_145957234.1	WP_145957234.1		formate dehydrogenase-N subunit alpha	fdnG		CKW09_RS00245	3048	1015	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	58070	58969	+					fdxH		CKW09_RS00250	900		old_locus_tag=SAMEA4384070_00050
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	58070	58969	+	WP_061797869.1	WP_061797869.1		formate dehydrogenase subunit beta	fdxH		CKW09_RS00250	900	299	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	58966	59601	+					fdoI		CKW09_RS00255	636		old_locus_tag=SAMEA4384070_00051
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	58966	59601	+	WP_061797871.1	WP_061797871.1		formate dehydrogenase cytochrome b556 subunit	fdoI		CKW09_RS00255	636	211	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	59601	60530	+					fdhE		CKW09_RS00260	930		old_locus_tag=SAMEA4384070_00052
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	59601	60530	+	WP_061797872.1	WP_061797872.1		formate dehydrogenase accessory protein FdhE	fdhE		CKW09_RS00260	930	309	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	60649	61287	+							CKW09_RS00265	639		old_locus_tag=SAMEA4384070_00053
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	60649	61287	+	WP_061797966.1	WP_061797966.1		DcrB-related protein			CKW09_RS00265	639	212	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	61334	61939	+							CKW09_RS00270	606		old_locus_tag=SAMEA4384070_00054
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	61334	61939	+	WP_095094909.1	WP_095094909.1		glutathione S-transferase			CKW09_RS00270	606	201	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	62008	63399	+					selA		CKW09_RS00275	1392		old_locus_tag=SAMEA4384070_00055
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	62008	63399	+	WP_095094912.1	WP_095094912.1		L-seryl-tRNA(Sec) selenium transferase	selA		CKW09_RS00275	1392	463	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	63396	65237	+					selB		CKW09_RS00280	1842		old_locus_tag=SAMEA4384070_00056
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	63396	65237	+	WP_095094915.1	WP_095094915.1		selenocysteine-specific translation elongation factor	selB		CKW09_RS00280	1842	613	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65319	65579	+							CKW09_RS00285	261		old_locus_tag=SAMEA4384070_00057
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65319	65579	+	WP_061797877.1	WP_061797877.1		ribbon-helix-helix protein, CopG family			CKW09_RS00285	261	86	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65579	65854	+							CKW09_RS00290	276		
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65579	65854	+	WP_073970302.1	WP_073970302.1		type II toxin-antitoxin system RelE/ParE family toxin			CKW09_RS00290	276	91	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65916	67163	-							CKW09_RS00295	1248		old_locus_tag=SAMEA4384070_00058
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	65916	67163	-	WP_095094918.1	WP_095094918.1		MFS transporter			CKW09_RS00295	1248	415	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	67404	68396	+							CKW09_RS00300	993		old_locus_tag=SAMEA4384070_00059
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	67404	68396	+	WP_095094923.1	WP_095094923.1		acyltransferase			CKW09_RS00300	993	330	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	68391	69311	-							CKW09_RS00305	921		old_locus_tag=SAMEA4384070_00060
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	68391	69311	-	WP_061797880.1	WP_061797880.1		helix-turn-helix domain-containing protein			CKW09_RS00305	921	306	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	69314	69865	-							CKW09_RS00310	552		old_locus_tag=SAMEA4384070_00061
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	69314	69865	-	WP_095094926.1	WP_095094926.1		isochorismatase family protein			CKW09_RS00310	552	183	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	69966	71354	-							CKW09_RS00315	1389		old_locus_tag=SAMEA4384070_00062
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	69966	71354	-	WP_061797882.1	WP_061797882.1		amidohydrolase family protein			CKW09_RS00315	1389	462	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	71476	72927	-					xylB		CKW09_RS00320	1452		old_locus_tag=SAMEA4384070_00063
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	71476	72927	-	WP_061797883.1	WP_061797883.1		xylulokinase	xylB		CKW09_RS00320	1452	483	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	73096	74415	-					xylA		CKW09_RS00325	1320		old_locus_tag=SAMEA4384070_00064
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	73096	74415	-	WP_095094929.1	WP_095094929.1		xylose isomerase	xylA		CKW09_RS00325	1320	439	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	74772	75767	+					xylF		CKW09_RS00330	996		old_locus_tag=SAMEA4384070_00065
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	74772	75767	+	WP_061797885.1	WP_061797885.1		D-xylose ABC transporter substrate-binding protein	xylF		CKW09_RS00330	996	331	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	75796	77337	+							CKW09_RS00335	1542		old_locus_tag=SAMEA4384070_00066
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	75796	77337	+	WP_061797886.1	WP_061797886.1		xylose ABC transporter ATP-binding protein			CKW09_RS00335	1542	513	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	77315	78499	+							CKW09_RS00340	1185		old_locus_tag=SAMEA4384070_00067
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	77315	78499	+	WP_095094932.1	WP_095094932.1		sugar ABC transporter permease			CKW09_RS00340	1185	394	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	78596	79774	+							CKW09_RS00345	1179		old_locus_tag=SAMEA4384070_00068
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	78596	79774	+	WP_061797889.1	WP_061797889.1		DNA-binding transcriptional regulator			CKW09_RS00345	1179	392	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	79781	80635	-							CKW09_RS00350	855		old_locus_tag=SAMEA4384070_00069
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	79781	80635	-	WP_061797890.1	WP_061797890.1		LysR family transcriptional regulator			CKW09_RS00350	855	284	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	80813	81961	+							CKW09_RS00355	1149		old_locus_tag=SAMEA4384070_00070
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	80813	81961	+	WP_231922194.1	WP_231922194.1		cyanate transporter			CKW09_RS00355	1149	382	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	82038	83381	+							CKW09_RS00360	1344		old_locus_tag=SAMEA4384070_00071
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	82038	83381	+	WP_061797891.1	WP_061797891.1		esterase-like activity of phytase family protein			CKW09_RS00360	1344	447	
gene	tRNA	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	83486	83580	+							CKW09_RS00365	95		old_locus_tag=SAMEA4384070_00072
tRNA		GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	83486	83580	+				tRNA-Sec			CKW09_RS00365	95		anticodon=TCA
