# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	10585	11532	+					fabY	64305923	J0X03_RS00055	948		old_locus_tag=J0X03_00055
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	10585	11532	+	WP_004931235.1	WP_004931235.1		fatty acid biosynthesis protein FabY	fabY	64305923	J0X03_RS00055	948	315	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	11570	13231	-						64305924	J0X03_RS00060	1662		old_locus_tag=J0X03_00060
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	11570	13231	-	WP_160204691.1	WP_160204691.1		AsmA family protein		64305924	J0X03_RS00060	1662	553	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	13360	14760	-						64305925	J0X03_RS00065	1401		old_locus_tag=J0X03_00065
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	13360	14760	-	WP_060660126.1	WP_060660126.1		uracil-xanthine permease family protein		64305925	J0X03_RS00065	1401	466	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	15001	16212	+					gltS	64305926	J0X03_RS00070	1212		old_locus_tag=J0X03_00070
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	15001	16212	+	WP_160204690.1	WP_160204690.1		sodium/glutamate symporter	gltS	64305926	J0X03_RS00070	1212	403	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	16255	18336	-					recG	64305927	J0X03_RS00075	2082		old_locus_tag=J0X03_00075
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	16255	18336	-	WP_089195312.1	WP_089195312.1		ATP-dependent DNA helicase RecG	recG	64305927	J0X03_RS00075	2082	693	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	18333	19028	-					trmH	64305928	J0X03_RS00080	696		old_locus_tag=J0X03_00080
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	18333	19028	-	WP_004931227.1	WP_004931227.1		tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	trmH	64305928	J0X03_RS00080	696	231	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	19034	21145	-					spoT	64305929	J0X03_RS00085	2112		old_locus_tag=J0X03_00085
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	19034	21145	-	WP_015379445.1	WP_015379445.1		bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	spoT	64305929	J0X03_RS00085	2112	703	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	21164	21439	-					rpoZ	64305930	J0X03_RS00090	276		old_locus_tag=J0X03_00090
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	21164	21439	-	WP_004931221.1	WP_004931221.1		DNA-directed RNA polymerase subunit omega	rpoZ	64305930	J0X03_RS00090	276	91	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	21494	22117	-					gmk	64305931	J0X03_RS00095	624		old_locus_tag=J0X03_00095
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	21494	22117	-	WP_033636481.1	WP_033636481.1		guanylate kinase	gmk	64305931	J0X03_RS00095	624	207	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	22329	22946	-						64305932	J0X03_RS00100	618		old_locus_tag=J0X03_00100
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	22329	22946	-	WP_033645234.1	WP_033645234.1		trimeric intracellular cation channel family protein		64305932	J0X03_RS00100	618	205	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	23200	23634	+						64305933	J0X03_RS00105	435		old_locus_tag=J0X03_00105
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	23200	23634	+	WP_096242689.1	WP_096242689.1		DUF3574 domain-containing protein		64305933	J0X03_RS00105	435	144	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	23669	24853	-						64305934	J0X03_RS00110	1185		old_locus_tag=J0X03_00110
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	23669	24853	-	WP_004931212.1	WP_004931212.1		nucleoside transporter		64305934	J0X03_RS00110	1185	394	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	25229	25618	+						64305935	J0X03_RS00115	390		old_locus_tag=J0X03_00115
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	25229	25618	+	WP_160204689.1	WP_160204689.1		hypothetical protein		64305935	J0X03_RS00115	390	129	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	25673	26536	-						64305936	J0X03_RS00120	864		old_locus_tag=J0X03_00120
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	25673	26536	-	WP_033652259.1	WP_033652259.1		YicC family protein		64305936	J0X03_RS00120	864	287	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	26663	27379	+					rph	64305937	J0X03_RS00125	717		old_locus_tag=J0X03_00125
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	26663	27379	+	WP_025160305.1	WP_025160305.1		ribonuclease PH	rph	64305937	J0X03_RS00125	717	238	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	27476	28117	+					pyrE	64305938	J0X03_RS00130	642		old_locus_tag=J0X03_00130
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	27476	28117	+	WP_004931204.1	WP_004931204.1		orotate phosphoribosyltransferase	pyrE	64305938	J0X03_RS00130	642	213	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	28149	28745	-					slmA	64305939	J0X03_RS00135	597		old_locus_tag=J0X03_00135
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	28149	28745	-	WP_025304700.1	WP_025304700.1		nucleoid occlusion factor SlmA	slmA	64305939	J0X03_RS00135	597	198	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	28997	29455	-					dut	64305940	J0X03_RS00140	459		old_locus_tag=J0X03_00140
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	28997	29455	-	WP_016929680.1	WP_016929680.1		dUTP diphosphatase	dut	64305940	J0X03_RS00140	459	152	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	29433	30650	-					coaBC	64305941	J0X03_RS00145	1218		old_locus_tag=J0X03_00145
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	29433	30650	-	WP_160880187.1	WP_160880187.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC	64305941	J0X03_RS00145	1218	405	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	30834	31517	+					radC	64305942	J0X03_RS00150	684		old_locus_tag=J0X03_00150
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	30834	31517	+	WP_016929682.1	WP_016929682.1		DNA repair protein RadC	radC	64305942	J0X03_RS00150	684	227	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	31780	32016	+					rpmB	64305943	J0X03_RS00155	237		old_locus_tag=J0X03_00155
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	31780	32016	+	WP_004931195.1	WP_004931195.1		50S ribosomal protein L28	rpmB	64305943	J0X03_RS00155	237	78	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	32028	32195	+					rpmG	64305944	J0X03_RS00160	168		old_locus_tag=J0X03_00160
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	32028	32195	+	WP_002442576.1	WP_002442576.1		50S ribosomal protein L33	rpmG	64305944	J0X03_RS00160	168	55	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	32277	33092	+					mutM	64305945	J0X03_RS00165	816		old_locus_tag=J0X03_00165
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	32277	33092	+	WP_033645182.1	WP_033645182.1		bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	mutM	64305945	J0X03_RS00165	816	271	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	33096	33581	-					coaD	64305946	J0X03_RS00170	486		old_locus_tag=J0X03_00170
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	33096	33581	-	WP_033645183.1	WP_033645183.1		pantetheine-phosphate adenylyltransferase	coaD	64305946	J0X03_RS00170	486	161	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	33585	34358	-						64305947	J0X03_RS00175	774		old_locus_tag=J0X03_00175
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	33585	34358	-	WP_033645184.1	WP_033645184.1		glycosyltransferase family 2 protein		64305947	J0X03_RS00175	774	257	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	34359	35636	-					waaA	64305948	J0X03_RS00180	1278		old_locus_tag=J0X03_00180
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	34359	35636	-	WP_019452200.1	WP_019452200.1		lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	waaA	64305948	J0X03_RS00180	1278	425	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	35762	36775	+						64305949	J0X03_RS00185	1014		old_locus_tag=J0X03_00185
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	35762	36775	+	WP_033645185.1	WP_033645185.1		glycosyltransferase family 9 protein		64305949	J0X03_RS00185	1014	337	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	36820	37920	-						64305950	J0X03_RS00190	1101		old_locus_tag=J0X03_00190
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	36820	37920	-	WP_046687974.1	WP_046687974.1		glycosyltransferase		64305950	J0X03_RS00190	1101	366	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	37923	39050	-						64305951	J0X03_RS00195	1128		old_locus_tag=J0X03_00195
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	37923	39050	-	WP_046687973.1	WP_046687973.1		glycosyltransferase family 4 protein		64305951	J0X03_RS00195	1128	375	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	39047	40129	-					rfaQ	64305952	J0X03_RS00200	1083		old_locus_tag=J0X03_00200
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	39047	40129	-	WP_046687972.1	WP_046687972.1		putative lipopolysaccharide heptosyltransferase III	rfaQ	64305952	J0X03_RS00200	1083	360	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	40340	41296	+						64305953	J0X03_RS00205	957		old_locus_tag=J0X03_00205
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	40340	41296	+	WP_033645189.1	WP_033645189.1		polysaccharide deacetylase family protein		64305953	J0X03_RS00205	957	318	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	41305	42399	+						64305954	J0X03_RS00210	1095		old_locus_tag=J0X03_00210
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	41305	42399	+	WP_047025858.1	WP_047025858.1		glycosyltransferase family 9 protein		64305954	J0X03_RS00210	1095	364	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	42436	43416	-						64305955	J0X03_RS00215	981		old_locus_tag=J0X03_00215
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	42436	43416	-	WP_149542944.1	WP_149542944.1		glycosyltransferase		64305955	J0X03_RS00215	981	326	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	43413	44654	-						64305956	J0X03_RS00220	1242		old_locus_tag=J0X03_00220
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	43413	44654	-	WP_122016976.1	WP_122016976.1		O-antigen ligase family protein		64305956	J0X03_RS00220	1242	413	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	44683	45849	-						64305957	J0X03_RS00225	1167		old_locus_tag=J0X03_00225
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	44683	45849	-	WP_160204687.1	WP_160204687.1		glycosyltransferase family 4 protein		64305957	J0X03_RS00225	1167	388	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	45846	46811	-					rfaC	64305958	J0X03_RS00230	966		old_locus_tag=J0X03_00230
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	45846	46811	-	WP_033645194.1	WP_033645194.1		lipopolysaccharide heptosyltransferase RfaC	rfaC	64305958	J0X03_RS00230	966	321	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	46814	47860	-					rfaF	64305959	J0X03_RS00235	1047		old_locus_tag=J0X03_00235
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	46814	47860	-	WP_033645195.1	WP_033645195.1		ADP-heptose--LPS heptosyltransferase RfaF	rfaF	64305959	J0X03_RS00235	1047	348	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	47883	48812	-					rfaD	64305960	J0X03_RS00240	930		old_locus_tag=J0X03_00240
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	47883	48812	-	WP_033645196.1	WP_033645196.1		ADP-glyceromanno-heptose 6-epimerase	rfaD	64305960	J0X03_RS00240	930	309	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	49053	50249	+					kbl	64305961	J0X03_RS00245	1197		old_locus_tag=J0X03_00245
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	49053	50249	+	WP_033645197.1	WP_033645197.1		glycine C-acetyltransferase	kbl	64305961	J0X03_RS00245	1197	398	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	50259	51284	+					tdh	64305962	J0X03_RS00250	1026		old_locus_tag=J0X03_00250
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	50259	51284	+	WP_033645198.1	WP_033645198.1		L-threonine 3-dehydrogenase	tdh	64305962	J0X03_RS00250	1026	341	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	51326	52279	-						64305963	J0X03_RS00255	954		old_locus_tag=J0X03_00255
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	51326	52279	-	WP_047025852.1	WP_047025852.1		divergent polysaccharide deacetylase family protein		64305963	J0X03_RS00255	954	317	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	52282	53616	-					envC	64305964	J0X03_RS00260	1335		old_locus_tag=J0X03_00260
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	52282	53616	-	WP_028128084.1	WP_028128084.1		murein hydrolase activator EnvC	envC	64305964	J0X03_RS00260	1335	444	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	53626	55170	-					gpmM	64305965	J0X03_RS00265	1545		old_locus_tag=J0X03_00265
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	53626	55170	-	WP_160204686.1	WP_160204686.1		2,3-bisphosphoglycerate-independent phosphoglycerate mutase	gpmM	64305965	J0X03_RS00265	1545	514	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	55468	55902	+						64305966	J0X03_RS00270	435		old_locus_tag=J0X03_00270
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	55468	55902	+	WP_033645201.1	WP_033645201.1		rhodanese-like domain-containing protein		64305966	J0X03_RS00270	435	144	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	55931	56179	+					grxC	64305967	J0X03_RS00275	249		old_locus_tag=J0X03_00275
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	55931	56179	+	WP_004931142.1	WP_004931142.1		glutaredoxin 3	grxC	64305967	J0X03_RS00275	249	82	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	56237	56707	+					secB	64305968	J0X03_RS00280	471		old_locus_tag=J0X03_00280
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	56237	56707	+	WP_004931139.1	WP_004931139.1		protein-export chaperone SecB	secB	64305968	J0X03_RS00280	471	156	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	56707	57726	+					gpsA	64305969	J0X03_RS00285	1020		old_locus_tag=J0X03_00285
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	56707	57726	+	WP_033645202.1	WP_033645202.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	gpsA	64305969	J0X03_RS00285	1020	339	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	57833	58654	+					cysE	64305970	J0X03_RS00290	822		old_locus_tag=J0X03_00290
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	57833	58654	+	WP_025304676.1	WP_025304676.1		serine O-acetyltransferase	cysE	64305970	J0X03_RS00290	822	273	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	58716	59387	-						64305971	J0X03_RS00295	672		old_locus_tag=J0X03_00295
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	58716	59387	-	WP_033645203.1	WP_033645203.1		DUF3313 domain-containing protein		64305971	J0X03_RS00295	672	223	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	59492	60265	-						64305972	J0X03_RS00300	774		old_locus_tag=J0X03_00300
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	59492	60265	-	WP_103101909.1	WP_103101909.1		CHAD domain-containing protein		64305972	J0X03_RS00300	774	257	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	60327	60800	-					trmL	64305973	J0X03_RS00305	474		old_locus_tag=J0X03_00305
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	60327	60800	-	WP_033645205.1	WP_033645205.1		tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	trmL	64305973	J0X03_RS00305	474	157	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	60844	62238	-					cpxA	64305974	J0X03_RS00310	1395		old_locus_tag=J0X03_00310
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	60844	62238	-	WP_015379421.1	WP_015379421.1		envelope stress sensor histidine kinase CpxA	cpxA	64305974	J0X03_RS00310	1395	464	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	62235	62933	-					cpxR	64305975	J0X03_RS00315	699		old_locus_tag=J0X03_00315
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	62235	62933	-	WP_004931124.1	WP_004931124.1		envelope stress response regulator transcription factor CpxR	cpxR	64305975	J0X03_RS00315	699	232	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	63082	63561	+					cpxP	64305976	J0X03_RS00320	480		old_locus_tag=J0X03_00320
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	63082	63561	+	WP_004931122.1	WP_004931122.1		cell-envelope stress modulator CpxP	cpxP	64305976	J0X03_RS00320	480	159	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	63693	64595	+					fieF	64305977	J0X03_RS00325	903		old_locus_tag=J0X03_00325
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	63693	64595	+	WP_033631333.1	WP_033631333.1		CDF family cation-efflux transporter FieF	fieF	64305977	J0X03_RS00325	903	300	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	64827	65789	+					pfkA	64305978	J0X03_RS00330	963		old_locus_tag=J0X03_00330
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	64827	65789	+	WP_004931116.1	WP_004931116.1		6-phosphofructokinase	pfkA	64305978	J0X03_RS00330	963	320	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	65973	66962	+						64305979	J0X03_RS00335	990		old_locus_tag=J0X03_00335
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	65973	66962	+	WP_033645235.1	WP_033645235.1		sulfate ABC transporter substrate-binding protein		64305979	J0X03_RS00335	990	329	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	67028	67795	-					tpiA	64305980	J0X03_RS00340	768		old_locus_tag=J0X03_00340
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	67028	67795	-	WP_033652212.1	WP_033652212.1		triose-phosphate isomerase	tpiA	64305980	J0X03_RS00340	768	255	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	67923	68507	-						64305981	J0X03_RS00345	585		old_locus_tag=J0X03_00345
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	67923	68507	-	WP_033645207.1	WP_033645207.1		DUF1454 family protein		64305981	J0X03_RS00345	585	194	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	68707	69126	+						64305982	J0X03_RS00350	420		old_locus_tag=J0X03_00350
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	68707	69126	+	WP_016929710.1	WP_016929710.1		DUF805 domain-containing protein		64305982	J0X03_RS00350	420	139	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	69138	69884	-					fpr	64305983	J0X03_RS00355	747		old_locus_tag=J0X03_00355
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	69138	69884	-	WP_033645208.1	WP_033645208.1		ferredoxin--NADP(+) reductase	fpr	64305983	J0X03_RS00355	747	248	
